program_code,region,model_line,my,term_months,model_code,model_description,lease_cash,mf_tier_1,mf_tier_2,mf_tier_3,mf_tier_4,mf_tier_5,mf_tier_6,mf_tier_7,mf_tier_8,residual_pct
H202,MS,ELANTRA N,2026,39,4N4A2FT5,4dr Sdn N,0,,,0.00227,0.00263,0.00281,0.00295,0.00315,0.00328,
H202,MS,ELANTRA N,2026,39,4N4A3FT5,4dr Sdn N MT,0,,,0.00227,0.00263,0.00281,0.00295,0.00315,0.00328,
H202,MS,ELANTRA N,2026,48,4N4A2FT5,4dr Sdn N,0,,,0.00272,0.00306,0.00326,0.00343,0.00368,0.00381,
H202,MS,ELANTRA N,2026,48,4N4A3FT5,4dr Sdn N MT,0,,,0.00272,0.00306,0.00326,0.00343,0.00368,0.00381,
H202,MS,ELANTRA N,2025,36,4N4A2FT5,4dr N DCT,0,,,0.00227,0.00263,0.00281,0.00295,0.00315,0.00328,
H202,MS,ELANTRA N,2025,36,4N4A3FT5,4dr N MT,0,,,0.00227,0.00263,0.00281,0.00295,0.00315,0.00328,
H202,MS,ELANTRA N,2025,39,4N4A2FT5,4dr N DCT,0,,,0.00227,0.00263,0.00281,0.00295,0.00315,0.00328,
H202,MS,ELANTRA N,2025,39,4N4A3FT5,4dr N MT,0,,,0.00227,0.00263,0.00281,0.00295,0.00315,0.00328,
H202,MS,ELANTRA N,2025,48,4N4A2FT5,4dr N DCT,0,,,0.00272,0.00306,0.00326,0.00343,0.00368,0.00381,
H202,MS,ELANTRA N,2025,48,4N4A3FT5,4dr N MT,0,,,0.00272,0.00306,0.00326,0.00343,0.00368,0.00381,
H202,MS,IONIQ 5,2026,24,51402REZ,IONIQ 5 SE RWD Standard Range,5000,0.00203,0.00203,0.00244,0.00258,0.0027,0.00287,0.00314,0.00362,0.65
H202,MS,IONIQ 5,2026,24,51412AEZ,IONIQ 5 SE AWD,0,0.00041,0.00041,0.00055,0.00069,0.00081,0.00098,0.00125,0.00362,0.74
H202,MS,IONIQ 5,2026,24,51412REZ,IONIQ 5 SE RWD,0,0.00028,0.00028,0.00042,0.00056,0.00068,0.00085,0.00112,0.00362,0.74
H202,MS,IONIQ 5,2026,24,51442AEZ,IONIQ 5 SEL AWD,0,0.00044,0.00044,0.00058,0.00072,0.00084,0.00101,0.00128,0.00362,0.74
